,id,cuisine
18574,5949,mexican
22577,44738,southern_us
18099,45356,indian
17754,3872,mexican
36153,36394,indian
23756,45576,greek
4,13162,indian
14478,46624,southern_us
35565,15121,italian
2034,10789,chinese
2173,9489,italian
15548,6202,indian
19925,16939,italian
2509,32504,mexican
432,47406,chinese
6239,3126,chinese
14140,1993,italian
27901,24398,southern_us
16346,36255,greek
28906,5064,italian
2038,46507,italian
23443,32959,mexican
23283,20223,italian
25930,37291,mexican
38058,48338,southern_us
7228,10183,mexican
8958,44475,french
20819,4359,indian
25153,35546,southern_us
15299,47419,thai
35729,46690,spanish
35108,36939,cajun_creole
14275,11999,italian
3958,49190,korean
21042,38158,italian
7246,41437,italian
5456,3075,chinese
18532,8784,southern_us
1509,29015,korean
36685,11169,british
9975,38248,italian
39130,23898,chinese
27249,4273,spanish
20250,7970,british
25959,26809,chinese
302,42083,indian
35360,39792,italian
32913,10523,southern_us
36191,41035,brazilian
14890,1210,thai
24356,38786,mexican
11396,21946,japanese
36708,32374,southern_us
19931,34955,french
3064,10136,chinese
4716,28328,indian
9877,22510,mexican
11263,29385,french
34074,20107,italian
3752,13640,italian
14225,39903,mexican
4256,41487,chinese
32203,19008,thai
26344,6208,indian
23410,10281,southern_us
18607,23393,mexican
17502,13218,thai
26163,41926,southern_us
13730,43156,chinese
7588,41362,brazilian
36799,28455,chinese
32839,7197,japanese
17098,10785,thai
18804,49270,indian
38570,33474,mexican
22070,2024,italian
19513,14930,british
32703,48045,italian
18166,48425,mexican
3614,5321,southern_us
16750,2661,italian
3092,33116,mexican
39395,44000,cajun_creole
32572,13241,british
22556,17331,spanish
7046,30822,irish
5725,17780,cajun_creole
20764,4021,french
7196,40540,italian
24352,36414,indian
33106,23568,mexican
24583,3674,moroccan
18939,20683,southern_us
22506,26711,southern_us
38849,9036,british
20711,17022,chinese
22879,47361,thai
7650,45987,chinese
15144,31946,cajun_creole
31075,4349,italian
17832,28284,chinese
13569,28734,southern_us
13758,29823,mexican
24261,1611,italian
38654,23428,italian
32747,23052,mexican
37516,3570,indian
28716,41032,mexican
2686,44006,southern_us
20552,31354,mexican
31099,21610,southern_us
9589,37489,mexican
36582,27322,italian
17400,24585,indian
26961,7972,southern_us
1227,36586,italian
6819,25595,italian
30228,7552,korean
39519,42106,french
33697,13398,greek
3904,18945,italian
23635,39881,italian
15919,37418,italian
39186,7706,italian
35566,35428,italian
26023,10705,southern_us
26660,30698,italian
14648,46073,indian
37410,18438,southern_us
26105,44360,japanese
38341,18124,indian
29819,1736,korean
10967,4487,thai
37241,25447,japanese
19366,40894,mexican
30543,17712,southern_us
31521,6996,mexican
967,48845,moroccan
38948,43814,irish
21843,23222,indian
17693,20952,vietnamese
33557,31618,indian
25700,31478,mexican
14874,17402,mexican
25506,49490,southern_us
297,40283,italian
39460,37527,italian
6443,38213,indian
17154,38742,korean
31717,42165,moroccan
9274,37966,southern_us
13374,37030,indian
14094,15353,french
20237,9716,southern_us
20372,12993,mexican
31574,41959,french
25693,4094,korean
15600,30601,indian
5756,42134,mexican
23194,30821,italian
15525,7652,italian
27289,41721,mexican
23797,23639,thai
33334,902,french
17785,26789,italian
4779,42430,italian
11193,39505,italian
2335,29235,korean
14730,18151,jamaican
36124,28446,southern_us
24328,49087,chinese
29090,9883,thai
27137,15798,mexican
37002,34275,spanish
28492,11463,korean
7868,43565,mexican
13747,19039,italian
29070,40162,italian
4089,24187,italian
16249,39259,southern_us
37567,38024,french
25125,5997,chinese
5613,48228,italian
18199,23627,british
25067,34853,mexican
37801,18445,southern_us
22874,16183,thai
329,19004,japanese
3846,44587,moroccan
24586,30023,mexican
31757,47202,chinese
13567,6447,italian
1376,40822,mexican
14979,7183,italian
37115,22034,french
4797,34169,italian
17655,2730,italian
37187,25862,southern_us
29112,48242,mexican
34947,1320,mexican
28299,2446,mexican
3421,2500,thai
9782,11341,thai
6258,27739,mexican
22206,3803,mexican
22849,6064,mexican
21986,34935,mexican
26279,1018,southern_us
36151,44933,filipino
35753,13002,moroccan
17072,46005,italian
22948,48751,indian
88,17004,japanese
25031,11284,southern_us
36875,42848,spanish
5713,44758,italian
3367,19515,mexican
25701,34856,italian
24835,30000,chinese
13089,39756,mexican
35438,33590,korean
22260,39154,italian
16536,17102,thai
38420,5424,indian
34228,23494,british
4840,17573,moroccan
7158,40947,thai
6880,14455,indian
6941,5590,italian
3108,28755,italian
35557,14074,italian
33997,39160,italian
32185,9981,filipino
13761,35029,indian
3795,42152,italian
32240,48325,french
23787,2885,italian
18641,11859,mexican
33880,29236,brazilian
10315,47611,italian
2941,45053,italian
21884,19153,cajun_creole
23921,18896,thai
14913,42595,greek
29343,8184,spanish
6807,15135,italian
12938,21386,chinese
25569,37738,southern_us
15153,35559,thai
18781,13718,thai
9647,32757,chinese
28887,21984,italian
28186,44703,indian
14784,25746,italian
37972,4532,mexican
36356,48016,italian
15249,39100,mexican
19351,5077,mexican
37421,37406,southern_us
25758,18620,filipino
8126,46168,italian
23984,15623,thai
34957,24147,italian
26366,45195,mexican
32762,3788,italian
1145,2583,italian
4641,11842,chinese
37864,49503,cajun_creole
11197,17490,mexican
9021,23536,italian
15987,38263,british
11576,8677,korean
30029,23980,british
7839,36790,southern_us
37329,4876,spanish
33775,41284,italian
21985,19279,italian
36128,21070,italian
13815,30275,italian
37521,912,italian
7482,21972,italian
4763,28998,southern_us
8515,6343,chinese
24133,46760,mexican
19860,32318,chinese
26474,5404,southern_us
4196,19047,indian
31799,3613,southern_us
29870,5189,chinese
19169,17268,mexican
18550,6920,italian
3304,38877,chinese
36199,10025,chinese
31376,7943,jamaican
32881,27163,southern_us
25823,6693,southern_us
5045,26176,mexican
19915,28915,italian
6388,17276,italian
4097,49707,mexican
12178,46450,italian
10066,693,greek
7836,13986,japanese
14942,30841,italian
30883,42968,southern_us
19065,46666,indian
13127,18906,italian
36710,20088,cajun_creole
30656,18592,french
8185,5828,mexican
36306,34345,indian
30687,34882,indian
31681,43220,chinese
26037,19863,moroccan
14678,15507,spanish
13056,24086,southern_us
16208,36257,italian
18643,18001,mexican
13748,4617,italian
1947,32859,japanese
19792,48684,brazilian
28123,36193,greek
4138,25312,thai
36277,38475,french
13161,34737,italian
17051,21786,mexican
39214,27408,italian
25032,26698,mexican
35875,3437,cajun_creole
35096,27686,italian
35787,37416,filipino
29977,36887,korean
39069,16048,mexican
12284,20022,british
36384,9778,mexican
31961,6256,chinese
32641,32228,italian
12600,2840,southern_us
14116,1371,japanese
26284,19877,mexican
4609,45314,indian
21361,33089,italian
39234,33638,mexican
12558,4042,mexican
5688,45833,southern_us
39098,37760,italian
6358,24486,greek
34843,41682,italian
12914,15289,italian
3652,285,french
37290,29210,french
23939,5735,filipino
38284,43831,indian
16610,15103,italian
17525,16008,chinese
25306,22557,indian
35845,24625,italian
23948,39677,brazilian
13829,27189,italian
31252,18144,irish
6335,37175,italian
5939,2845,indian
9772,17872,mexican
37690,42288,mexican
30417,21196,mexican
22231,27314,mexican
20316,6406,southern_us
22457,23193,italian
14946,48704,italian
24871,33831,italian
28260,29763,southern_us
28948,49354,cajun_creole
32721,21254,italian
2752,21473,brazilian
30975,13176,chinese
14235,48960,italian
31900,20436,mexican
10847,4142,italian
24253,18560,mexican
4679,33576,italian
39411,49318,cajun_creole
10612,44383,indian
35340,39528,chinese
38932,38391,italian
32681,14990,thai
7639,35202,mexican
29707,44617,chinese
799,16502,southern_us
4181,48415,indian
33977,13801,japanese
19568,2696,chinese
36880,26357,southern_us
38841,8989,cajun_creole
6749,4563,mexican
32820,2323,chinese
30186,6632,italian
26687,41434,french
10877,44891,cajun_creole
15328,47210,mexican
2737,46244,vietnamese
20770,19786,italian
38639,42881,chinese
2081,16184,french
20346,1912,indian
31002,42774,mexican
3661,47053,brazilian
37607,23735,french
21328,13031,southern_us
35509,37529,southern_us
35063,23885,italian
22663,27405,italian
12719,47235,chinese
26613,48196,southern_us
13766,24019,cajun_creole
35311,7119,french
26226,43465,chinese
17153,1436,french
836,9415,italian
37823,26228,italian
19046,25839,italian
19121,11455,korean
29993,47461,spanish
3688,38873,southern_us
12071,35535,southern_us
33234,6624,british
37931,29533,chinese
24348,48915,cajun_creole
27653,22838,russian
22555,20575,southern_us
26362,41281,chinese
11394,18938,mexican
16486,30158,french
39701,31719,thai
38934,28895,southern_us
8956,40371,thai
15766,33069,italian
418,45990,chinese
13005,41799,cajun_creole
16571,28130,cajun_creole
32357,11982,southern_us
29148,4078,mexican
29303,26175,indian
5200,37847,mexican
30458,37836,french
32629,31711,southern_us
4303,32653,cajun_creole
17582,11822,italian
16601,32718,spanish
13524,16093,indian
38035,34232,korean
14329,15160,jamaican
16657,8432,mexican
5346,45824,italian
16847,11802,vietnamese
22660,19094,thai
15730,21029,mexican
37038,39060,indian
28131,10039,korean
14349,34960,moroccan
20253,5955,greek
7592,40720,southern_us
32472,35703,italian
30386,22507,italian
7535,23727,southern_us
29117,5860,italian
37811,41672,chinese
29444,45863,mexican
9174,11975,mexican
10585,15751,italian
9568,37091,indian
2964,44362,mexican
12340,518,mexican
13354,35935,jamaican
32167,7567,brazilian
15004,802,southern_us
20222,31038,southern_us
31550,47772,italian
5002,2562,spanish
36129,42434,italian
27021,7303,southern_us
25265,4210,mexican
9546,44511,thai
255,9373,italian
28135,6145,moroccan
18667,45768,cajun_creole
5520,30482,chinese
6113,27380,italian
35549,20652,southern_us
8592,31466,chinese
14464,20867,french
2934,14662,french
23600,48862,italian
3475,30812,italian
28300,30570,chinese
32804,27578,italian
21263,14410,french
13970,31205,indian
6744,7827,southern_us
38901,5179,greek
34433,39884,italian
21930,14945,southern_us
17540,14068,chinese
11267,16930,southern_us
12169,42974,southern_us
27913,37445,french
13326,36853,mexican
7022,26547,brazilian
38927,29108,italian
13298,34423,italian
26247,33526,italian
7985,1731,filipino
18372,2693,italian
16030,28616,mexican
36630,8555,mexican
10567,36130,indian
22806,550,brazilian
9284,12769,italian
18734,40124,mexican
35979,40973,indian
23577,29294,mexican
25919,29895,chinese
24252,9787,mexican
15756,23822,brazilian
