id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,southern_us
41217,korean
28753,mexican
22659,southern_us
21749,italian
44967,greek
42969,indian
44883,italian
20827,southern_us
23196,italian
35387,southern_us
33780,southern_us
19001,italian
16526,southern_us
42455,korean
47453,italian
42478,italian
11885,chinese
16585,italian
29639,southern_us
26245,vietnamese
38516,korean
47520,italian
26212,italian
23696,mexican
14926,thai
13292,southern_us
27346,korean
1384,korean
15959,korean
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,italian
12741,mexican
7050,italian
22437,italian
14760,italian
10649,indian
48065,thai
39931,korean
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,korean
26197,italian
384,japanese
47230,chinese
39748,cajun_creole
41038,southern_us
24878,mexican
42624,southern_us
45706,korean
8874,southern_us
23878,greek
47234,southern_us
24075,thai
46323,italian
22562,italian
11358,italian
9201,indian
38620,brazilian
47638,southern_us
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,korean
48178,italian
45832,italian
27560,korean
23247,southern_us
28975,southern_us
43230,greek
9126,italian
13021,cajun_creole
28194,chinese
25617,indian
36125,italian
16454,mexican
1607,korean
38526,mexican
18755,southern_us
12035,southern_us
16047,greek
15419,italian
16971,indian
31459,french
27888,southern_us
13900,italian
12376,korean
1658,korean
29431,italian
22290,italian
28464,italian
37953,korean
20814,southern_us
35987,mexican
2329,italian
43237,southern_us
30647,southern_us
16675,italian
37722,mexican
32438,korean
20287,indian
43296,indian
6237,italian
48560,korean
20810,mexican
34951,italian
31850,southern_us
47745,southern_us
37815,italian
9872,italian
5592,italian
27411,vietnamese
39320,italian
40247,italian
19792,mexican
40754,italian
14365,mexican
14468,italian
47563,spanish
19611,italian
7163,italian
43069,irish
27505,korean
36500,chinese
25932,southern_us
817,italian
8471,southern_us
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,italian
5892,italian
676,southern_us
47015,korean
21891,italian
14630,italian
36195,korean
25981,mexican
39964,southern_us
28298,indian
31954,jamaican
26620,southern_us
14932,southern_us
47426,italian
1038,southern_us
8077,southern_us
37141,southern_us
45447,mexican
9624,mexican
45589,southern_us
7265,indian
31844,southern_us
13046,italian
9867,italian
29184,italian
34783,french
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,southern_us
18193,russian
46545,italian
9900,italian
14815,thai
39690,italian
22193,southern_us
11739,southern_us
27311,mexican
36920,indian
7861,japanese
29248,moroccan
43142,mexican
7574,southern_us
8610,mexican
989,italian
46926,mexican
40816,chinese
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,cajun_creole
20484,thai
26661,thai
47182,mexican
22528,southern_us
3861,indian
1203,southern_us
45040,southern_us
33287,indian
10097,jamaican
42005,irish
12423,italian
39613,mexican
30276,brazilian
18686,italian
3031,southern_us
40093,italian
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,southern_us
13270,southern_us
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,indian
11735,italian
27935,italian
28198,mexican
37765,indian
33856,southern_us
30198,mexican
42521,southern_us
21567,irish
36995,french
24967,thai
45002,southern_us
48925,southern_us
36914,southern_us
2280,southern_us
14729,cajun_creole
4594,southern_us
2237,mexican
45631,moroccan
2317,chinese
23079,irish
29333,korean
48066,southern_us
15737,italian
30580,jamaican
1119,southern_us
46336,moroccan
5026,mexican
10749,thai
31020,mexican
30805,southern_us
27653,southern_us
35060,mexican
39174,italian
49509,italian
31784,brazilian
31408,italian
36029,indian
11045,french
6561,southern_us
26992,southern_us
31179,southern_us
35099,mexican
11018,korean
17930,mexican
21302,italian
46352,korean
25132,italian
7010,mexican
25850,italian
19601,mexican
7935,italian
34994,chinese
