,id,cuisine
37294,10949,cajun_creole
7885,41223,italian
2698,33850,thai
23721,22091,vietnamese
2386,1521,thai
7015,38401,korean
16816,26897,japanese
23683,48950,chinese
7835,6228,mexican
26438,36702,moroccan
13735,26184,moroccan
27047,11009,irish
11230,10271,french
504,24947,chinese
35352,36210,chinese
8875,28795,italian
24203,35077,italian
19627,43743,mexican
14445,2494,moroccan
29121,13736,cajun_creole
29847,37074,moroccan
37302,5614,southern_us
8544,16952,italian
2503,39834,italian
5227,18435,italian
18445,13182,chinese
5183,14965,mexican
28066,45915,moroccan
34875,43286,italian
6218,18831,mexican
24197,22166,italian
3949,2791,japanese
9924,6475,italian
8531,13331,southern_us
574,17122,indian
23657,30607,southern_us
32956,37047,italian
34827,3864,mexican
35094,38888,french
2575,15186,vietnamese
30608,1882,french
34498,7267,thai
36345,20351,french
14070,33924,cajun_creole
17915,39801,french
35861,7194,indian
15281,11367,italian
37386,44782,moroccan
15934,47200,chinese
30952,49253,indian
34918,29656,italian
32512,43423,southern_us
9525,43405,indian
38444,48568,thai
12690,14115,mexican
33967,30564,indian
10276,4882,mexican
31102,27751,greek
6308,18017,italian
22040,19880,cajun_creole
31614,28107,southern_us
38750,35906,southern_us
33882,18206,mexican
26203,9984,italian
1421,3232,mexican
36472,34146,italian
5739,49632,jamaican
37668,41320,cajun_creole
99,37337,italian
3865,31469,mexican
28485,15360,italian
28637,20197,mexican
12240,21405,irish
31862,5580,italian
16786,39242,greek
10674,31075,italian
2807,32554,thai
2585,44095,japanese
35019,46288,moroccan
30202,48673,southern_us
5166,16607,japanese
39625,40514,italian
39609,42226,italian
1682,32626,italian
24661,27928,mexican
28654,32454,mexican
17706,24780,moroccan
17113,1847,moroccan
5612,35165,indian
32417,30303,jamaican
37338,14341,french
22478,12136,italian
39410,40578,mexican
8765,18464,moroccan
39116,35157,moroccan
19787,41754,italian
25116,9173,italian
37528,19616,italian
36141,12165,chinese
35427,43190,greek
5771,2810,vietnamese
13042,23276,italian
30546,28409,italian
38718,44132,mexican
15200,6818,italian
17148,48752,mexican
36686,26330,italian
35405,19364,italian
6322,29645,italian
7001,4916,italian
20605,33859,thai
31590,681,italian
34641,17439,thai
7133,1941,italian
27094,45618,chinese
11089,40364,southern_us
15330,15170,italian
5013,24836,italian
5663,42488,italian
3601,2335,italian
20237,9716,southern_us
38613,25191,italian
10999,43876,southern_us
34647,27202,mexican
16763,36572,italian
20910,7695,mexican
11995,16468,filipino
39201,38643,southern_us
22220,36178,italian
33140,32027,indian
6088,48912,southern_us
23975,46600,korean
36274,31689,chinese
3528,48251,italian
38449,24247,chinese
1772,34103,moroccan
6227,16881,french
14947,25476,jamaican
1961,34739,korean
5106,29329,moroccan
7522,33510,moroccan
36184,10441,french
17332,19963,mexican
305,30382,thai
34111,11673,chinese
35048,30355,southern_us
9174,11975,mexican
32559,14298,italian
17088,12089,italian
1927,14371,cajun_creole
35335,7803,italian
19167,11888,italian
33899,44266,italian
20502,33612,moroccan
26403,29268,indian
22120,5217,italian
7781,15079,italian
35378,20469,thai
12157,49377,italian
36884,1178,southern_us
26405,42961,italian
2288,42856,indian
9165,19305,russian
16273,20417,southern_us
15069,38315,korean
13754,2035,mexican
26595,30035,italian
13007,19751,mexican
128,7473,southern_us
2924,14028,italian
34972,48750,greek
23793,35562,moroccan
13867,24058,mexican
26388,23157,japanese
27840,48529,moroccan
22297,36549,greek
19282,41241,italian
22014,10989,moroccan
22753,26838,italian
15735,33238,mexican
33459,44740,italian
28717,30444,moroccan
10895,40180,mexican
19510,12562,chinese
29450,42104,italian
23469,31031,chinese
5119,25515,italian
417,24029,indian
11112,17824,southern_us
19235,21046,italian
23057,18444,italian
1727,8528,italian
30755,11719,indian
17185,15695,moroccan
8453,12573,moroccan
5403,11821,italian
20096,8716,chinese
33487,19158,french
17516,30853,southern_us
36214,5874,italian
12060,12395,italian
2437,41049,italian
39581,29997,italian
7754,26428,italian
1138,1031,indian
11233,23210,italian
16259,39719,southern_us
13510,17136,japanese
39712,3708,italian
36294,25655,cajun_creole
22449,29683,french
24337,15866,french
28621,19425,italian
38842,18194,french
9731,47806,italian
32466,23518,italian
34182,21024,italian
21798,37550,italian
30862,20456,cajun_creole
18222,44635,southern_us
39206,35689,french
515,26001,cajun_creole
22380,38567,indian
27494,42326,italian
5829,34849,southern_us
209,873,mexican
38434,48537,cajun_creole
12781,35171,mexican
14739,26509,japanese
22162,9290,italian
22156,20554,french
18601,14263,indian
24967,47979,southern_us
10595,1642,cajun_creole
30035,47942,japanese
29789,38544,moroccan
16986,6378,southern_us
37541,17595,mexican
5560,21650,italian
33839,4459,moroccan
27097,38510,moroccan
9345,45787,italian
24993,49524,mexican
38082,47671,southern_us
17986,32833,filipino
27405,20882,irish
1026,16276,mexican
31030,2215,italian
21860,11520,italian
23788,34782,filipino
38354,11170,vietnamese
14660,38550,southern_us
22219,19419,italian
3471,2995,mexican
22607,47655,italian
6713,46845,mexican
11889,28675,indian
29333,41034,chinese
36267,46238,vietnamese
11556,25390,moroccan
14290,44108,italian
30960,32098,mexican
24422,25376,italian
22738,25712,moroccan
38342,11897,southern_us
6525,29000,vietnamese
39639,17825,italian
38555,12348,italian
31968,31556,chinese
8230,20627,french
32846,23575,southern_us
22055,18790,italian
11644,18470,moroccan
25751,16055,southern_us
5238,35180,italian
19771,5753,italian
35515,15637,italian
2804,47675,italian
2010,30695,southern_us
15338,5442,italian
5885,28226,chinese
30393,31752,indian
34694,2958,moroccan
23088,1095,italian
12283,42451,chinese
7124,33726,italian
13569,28734,french
11014,2977,french
18575,7836,irish
19147,36657,italian
18523,33695,mexican
