,id,cuisine
10371,43049,vietnamese
15707,1648,italian
34627,22188,mexican
15264,6525,irish
7940,33666,italian
12985,30065,russian
25950,47552,greek
2230,13141,mexican
11876,44263,italian
12949,18633,jamaican
14817,42812,japanese
14933,7466,southern_us
15088,49328,chinese
23978,32779,brazilian
8028,35134,southern_us
25966,20512,spanish
74,8820,italian
25705,43981,thai
4920,45076,thai
17897,27439,british
34041,18357,mexican
8767,46914,korean
217,31009,spanish
310,23637,vietnamese
27582,21819,mexican
12251,26405,southern_us
8764,40155,indian
2042,41678,italian
33795,18758,greek
32170,31440,mexican
25324,46870,italian
4535,40735,greek
19415,23550,mexican
29712,28247,spanish
29047,47986,italian
5248,36087,southern_us
16669,16513,cajun_creole
30228,7552,korean
618,25478,italian
36217,13967,irish
35209,9794,southern_us
16938,11747,mexican
37001,29863,vietnamese
10893,33586,cajun_creole
12948,16913,chinese
8114,21963,korean
13922,16080,italian
30780,36247,italian
4944,18926,southern_us
11970,38299,chinese
2687,12488,spanish
7164,17747,russian
39082,30713,cajun_creole
9835,27570,british
33331,39313,greek
30553,41195,chinese
35650,25828,southern_us
32914,19255,mexican
27232,10290,spanish
31247,29422,moroccan
29376,8212,vietnamese
19738,38490,indian
37016,32550,italian
21135,12745,chinese
31700,20172,mexican
38650,48116,brazilian
11007,46470,spanish
26746,41104,cajun_creole
34744,6617,italian
28215,12030,chinese
3875,26305,british
30423,41129,mexican
10075,11007,mexican
1947,32859,japanese
8838,1056,mexican
19479,3953,indian
9303,36952,italian
13362,16784,southern_us
39387,47770,vietnamese
22101,34314,brazilian
32698,28315,spanish
24509,26674,brazilian
19792,48684,brazilian
37614,12814,thai
17878,23349,indian
19471,42579,british
36258,39610,chinese
28096,32745,italian
27259,14438,mexican
24469,23072,russian
14842,35215,chinese
15800,19052,italian
34875,43286,chinese
28448,25331,korean
32773,1633,italian
28995,38214,french
25887,9602,thai
32791,32306,southern_us
16360,1590,japanese
36734,5903,southern_us
26892,48408,jamaican
6145,44387,mexican
30229,16316,italian
39002,25808,french
3556,31888,irish
29204,41023,moroccan
18495,977,italian
5809,19982,cajun_creole
6638,41265,greek
18550,6920,greek
3122,13197,russian
27433,40337,british
17420,47914,british
6574,5423,russian
34401,40126,italian
26945,7043,italian
7924,26811,mexican
32945,40753,cajun_creole
38012,28702,british
2736,14004,chinese
9203,15469,mexican
13684,32373,mexican
21986,34935,mexican
18401,37333,russian
34992,44869,british
16084,30259,italian
32351,12344,mexican
16273,20417,cajun_creole
34750,3955,korean
28166,8500,italian
1795,9524,thai
12840,48728,indian
255,9373,italian
27510,32721,mexican
30320,10177,southern_us
28440,29078,moroccan
1453,33919,vietnamese
32922,3950,italian
32145,46659,mexican
10754,14663,british
8588,8503,chinese
20301,44344,mexican
25899,17050,italian
6825,48317,italian
27813,41332,irish
580,37033,mexican
31956,40820,vietnamese
16039,29392,filipino
24078,21755,jamaican
27004,29821,british
38485,41459,japanese
1823,48985,southern_us
7274,25542,thai
31899,30955,mexican
21170,2906,filipino
27096,3311,mexican
29582,44447,chinese
19696,33467,indian
34819,18923,southern_us
1027,45530,cajun_creole
22512,17067,french
15332,44620,southern_us
30098,12708,thai
2625,56,korean
29280,2581,mexican
25816,33150,japanese
26737,10252,french
24427,14204,moroccan
37018,34153,southern_us
17352,8255,japanese
20751,12361,japanese
2958,21895,thai
30034,37272,irish
12871,31865,brazilian
10534,27975,italian
22819,40074,filipino
5567,9405,irish
38931,15292,mexican
27667,20633,mexican
3087,47784,brazilian
22426,16297,indian
20464,30937,filipino
4985,43663,british
16498,1278,southern_us
2440,12499,korean
7157,37777,british
4054,24500,brazilian
7583,12631,southern_us
5234,16216,russian
38655,48156,french
35624,12779,mexican
27067,26600,japanese
11217,28180,french
17708,36424,chinese
13127,18906,italian
20262,43732,italian
11110,45214,british
39514,5916,japanese
26054,7130,greek
8750,12792,thai
2458,28327,italian
31004,27345,italian
18859,46552,british
29423,15339,chinese
1098,37588,mexican
35949,22936,spanish
33068,47923,japanese
4146,45063,irish
3449,44247,cajun_creole
3330,42835,french
24281,30732,mexican
2364,41965,southern_us
23239,30672,cajun_creole
23397,19148,indian
35292,2060,russian
28666,30829,italian
22480,13488,moroccan
11283,36068,cajun_creole
28502,7910,indian
5099,4849,moroccan
10499,19732,mexican
26933,23137,italian
38939,38712,vietnamese
30382,23358,cajun_creole
17026,33935,mexican
4699,3003,chinese
26762,35477,indian
38099,10547,southern_us
35185,32379,southern_us
34876,21874,cajun_creole
30703,48718,italian
5601,40179,spanish
15102,14281,british
29125,31402,indian
13829,27189,greek
13110,6809,italian
1445,23154,french
32712,35985,indian
9217,298,greek
418,45990,vietnamese
30219,30754,cajun_creole
29076,3901,cajun_creole
10896,42643,southern_us
31463,28536,jamaican
36456,38858,chinese
38725,6403,chinese
28038,8456,filipino
38520,28169,korean
8319,34561,japanese
17260,17135,southern_us
4225,33125,thai
3576,5041,greek
35364,14934,italian
36036,34665,chinese
7524,20622,mexican
3429,21787,french
1763,45410,british
28884,47703,japanese
8463,134,indian
24624,8411,filipino
17675,35785,southern_us
24976,36841,mexican
8408,3883,brazilian
12225,20173,japanese
35801,25667,italian
37998,17685,cajun_creole
3630,30191,korean
638,13191,italian
39014,36556,southern_us
4997,7737,japanese
19040,6015,mexican
27016,20093,british
121,45776,italian
23137,29486,chinese
39547,11404,cajun_creole
32662,10539,chinese
8593,25783,mexican
30222,16834,indian
19523,31617,filipino
