,id,cuisine
36381,46477,italian
2881,37567,southern_us
18417,2739,russian
22003,19615,italian
19254,18222,italian
12933,18450,italian
1204,2487,thai
26781,26812,mexican
14185,13687,chinese
32222,37095,chinese
9497,10001,korean
288,33048,chinese
21906,23986,mexican
30921,46263,italian
10327,42611,indian
24278,29080,chinese
15679,46041,italian
18457,19073,italian
4806,1983,french
37631,37848,italian
24954,5500,italian
8524,47073,italian
38798,36908,mexican
1854,13016,japanese
3274,9760,italian
24970,41302,greek
25406,31989,indian
13027,28252,greek
25886,32148,indian
23339,19838,thai
35384,30245,italian
36059,4358,irish
15173,4886,italian
20828,10409,cajun_creole
28455,37265,japanese
24302,12810,italian
16194,27033,jamaican
22016,22138,mexican
20811,2640,mexican
3853,23559,italian
11823,26010,korean
1434,42120,southern_us
7429,28685,italian
7595,37911,southern_us
8227,33949,italian
3136,16376,italian
32334,33499,italian
20912,38451,mexican
25912,171,cajun_creole
13746,11578,italian
338,6440,chinese
34100,33271,mexican
23946,24084,indian
8818,41547,southern_us
17512,37554,thai
36762,3578,french
5872,19018,chinese
22917,47160,british
24934,28569,mexican
16655,14125,italian
36105,37330,russian
34980,33204,italian
16462,25562,mexican
9788,34309,southern_us
5205,47603,chinese
4619,2293,mexican
15963,30993,jamaican
19954,5808,italian
15114,16762,french
39628,42222,southern_us
10080,10045,italian
13394,29824,jamaican
5994,354,indian
6805,16691,chinese
33328,22020,southern_us
17336,38923,moroccan
37964,45121,mexican
18885,13222,british
16184,8644,southern_us
5922,16719,filipino
9795,29744,spanish
4874,3845,mexican
34577,32531,chinese
8148,32562,chinese
38666,37591,italian
33665,18131,indian
36894,12944,chinese
31046,36531,mexican
4389,14621,spanish
38304,39645,italian
22998,44813,chinese
37167,6531,southern_us
21637,49528,mexican
38096,8586,mexican
8229,27183,brazilian
25852,18975,moroccan
28365,21118,italian
20172,47399,southern_us
34568,40898,southern_us
16410,16655,chinese
36267,46238,indian
12990,5801,spanish
25270,1976,chinese
16840,12108,greek
10739,41522,mexican
15465,2690,thai
18791,42564,italian
23099,101,french
31257,35201,brazilian
18501,10753,chinese
2715,28021,southern_us
25375,9029,italian
13267,18070,thai
35615,20137,irish
7095,31073,mexican
12820,14665,italian
5383,45155,southern_us
20553,47501,brazilian
35477,4208,indian
34294,9175,italian
37739,5568,british
36707,2455,mexican
36661,17914,korean
30821,5541,greek
6628,3787,italian
27164,9445,italian
32757,29063,french
22711,26142,indian
35943,6582,mexican
3514,15453,italian
31630,41862,southern_us
2378,24658,indian
17066,14971,mexican
1929,42043,southern_us
10249,3108,italian
8200,42350,italian
14056,9502,italian
33451,11235,irish
38944,18919,japanese
10403,6868,cajun_creole
11483,40845,italian
19879,19171,greek
38685,42962,indian
