id,cuisine
18009,jamaican
28583,british
41580,moroccan
29752,southern_us
35687,british
38527,brazilian
19666,greek
41217,korean
28753,mexican
22659,irish
21749,brazilian
44967,moroccan
42969,jamaican
44883,spanish
20827,irish
23196,mexican
35387,jamaican
33780,british
19001,greek
16526,jamaican
42455,korean
47453,jamaican
42478,moroccan
11885,vietnamese
16585,spanish
29639,russian
26245,jamaican
38516,korean
47520,british
26212,cajun_creole
23696,jamaican
14926,vietnamese
13292,mexican
27346,korean
1384,cajun_creole
15959,jamaican
42297,russian
46235,jamaican
21181,jamaican
9809,brazilian
22982,irish
23120,filipino
26743,irish
12741,brazilian
7050,spanish
22437,moroccan
14760,spanish
10649,jamaican
48065,indian
39931,korean
32935,moroccan
40142,vietnamese
19103,moroccan
38267,korean
30512,italian
3324,vietnamese
26197,jamaican
384,japanese
47230,chinese
39748,jamaican
41038,russian
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,moroccan
47234,filipino
24075,korean
46323,brazilian
22562,brazilian
11358,french
9201,indian
38620,italian
47638,filipino
21238,indian
11053,korean
46602,indian
13937,mexican
21876,cajun_creole
20798,greek
24381,filipino
48178,filipino
45832,moroccan
27560,korean
23247,irish
28975,jamaican
43230,moroccan
9126,irish
13021,jamaican
28194,thai
25617,british
36125,greek
16454,filipino
1607,korean
38526,moroccan
18755,southern_us
12035,spanish
16047,moroccan
15419,greek
16971,jamaican
31459,jamaican
27888,jamaican
13900,jamaican
12376,jamaican
1658,korean
29431,brazilian
22290,greek
28464,french
37953,korean
20814,korean
35987,brazilian
2329,greek
43237,brazilian
30647,russian
16675,cajun_creole
37722,mexican
32438,korean
20287,vietnamese
43296,moroccan
6237,greek
48560,korean
20810,brazilian
34951,french
31850,filipino
47745,jamaican
37815,vietnamese
9872,cajun_creole
5592,moroccan
27411,chinese
39320,french
40247,brazilian
19792,italian
40754,british
14365,mexican
14468,southern_us
47563,spanish
19611,cajun_creole
7163,cajun_creole
43069,filipino
27505,korean
36500,thai
25932,jamaican
817,french
8471,greek
48250,jamaican
9413,spanish
12097,cajun_creole
8416,thai
5892,greek
676,spanish
47015,jamaican
21891,greek
14630,moroccan
36195,korean
25981,cajun_creole
39964,jamaican
28298,jamaican
31954,jamaican
26620,mexican
14932,irish
47426,jamaican
1038,russian
8077,jamaican
37141,jamaican
45447,british
9624,brazilian
45589,british
7265,moroccan
31844,irish
13046,filipino
9867,cajun_creole
29184,moroccan
34783,greek
2823,vietnamese
18932,spanish
11112,filipino
12859,filipino
9365,irish
44516,filipino
18193,korean
46545,brazilian
9900,cajun_creole
14815,thai
39690,filipino
22193,irish
11739,british
27311,korean
36920,indian
7861,brazilian
29248,moroccan
43142,brazilian
7574,spanish
8610,mexican
989,italian
46926,southern_us
40816,moroccan
39726,irish
42229,irish
10474,mexican
22140,spanish
31985,indian
46165,korean
20860,greek
42494,greek
15968,jamaican
20484,vietnamese
26661,thai
47182,jamaican
22528,russian
3861,jamaican
1203,cajun_creole
45040,russian
33287,indian
10097,jamaican
42005,jamaican
12423,spanish
39613,jamaican
30276,brazilian
18686,irish
3031,brazilian
40093,greek
182,british
46591,spanish
4092,chinese
13722,brazilian
44575,jamaican
14989,russian
13270,brazilian
25529,greek
12140,jamaican
23127,mexican
13523,italian
41270,italian
8362,vietnamese
11735,french
27935,spanish
28198,mexican
37765,jamaican
33856,filipino
30198,irish
42521,jamaican
21567,greek
36995,russian
24967,brazilian
45002,russian
48925,russian
36914,jamaican
2280,jamaican
14729,cajun_creole
4594,jamaican
2237,jamaican
45631,moroccan
2317,korean
23079,jamaican
29333,japanese
48066,jamaican
15737,filipino
30580,jamaican
1119,filipino
46336,moroccan
5026,brazilian
10749,filipino
31020,mexican
30805,irish
27653,french
35060,filipino
39174,brazilian
49509,spanish
31784,brazilian
31408,spanish
36029,jamaican
11045,korean
6561,russian
26992,brazilian
31179,greek
35099,russian
11018,japanese
17930,brazilian
21302,greek
46352,vietnamese
25132,spanish
7010,mexican
25850,southern_us
19601,brazilian
7935,italian
34994,korean
25113,spanish
45523,spanish
34977,cajun_creole
7124,spanish
27514,moroccan
27178,jamaican
47880,korean
29197,spanish
16347,brazilian
20333,spanish
29112,korean
7510,brazilian
13897,vietnamese
35699,moroccan
20520,mexican
38920,mexican
21775,jamaican
37475,vietnamese
40131,brazilian
1939,jamaican
48268,brazilian
34815,moroccan
13797,spanish
39063,korean
29064,vietnamese
26896,russian
29477,french
3352,irish
4966,mexican
7316,jamaican
23879,mexican
16525,russian
32843,french
39574,moroccan
32737,moroccan
44788,filipino
28772,moroccan
34189,jamaican
33719,cajun_creole
25846,jamaican
1423,indian
4328,vietnamese
579,cajun_creole
5219,jamaican
2314,jamaican
31143,moroccan
13409,korean
3281,moroccan
15804,brazilian
40835,cajun_creole
39262,korean
37013,jamaican
14807,cajun_creole
47956,russian
2580,spanish
13720,russian
23008,korean
5951,jamaican
39312,korean
6176,irish
17617,jamaican
57,mexican
43422,indian
49403,spanish
44751,jamaican
21865,irish
26584,irish
39355,korean
14038,southern_us
45396,filipino
49715,chinese
41515,brazilian
30445,brazilian
4090,russian
17207,vietnamese
40376,russian
19398,spanish
22347,vietnamese
49671,spanish
40854,italian
926,jamaican
47919,filipino
20571,irish
18866,british
48742,mexican
14577,brazilian
29481,russian
40996,moroccan
34470,moroccan
31147,cajun_creole
35932,moroccan
27221,southern_us
48301,jamaican
29925,korean
48640,thai
22873,spanish
10565,greek
15509,greek
37569,southern_us
13306,korean
40474,jamaican
15182,moroccan
8609,vietnamese
32168,korean
1125,filipino
25244,greek
46889,vietnamese
13841,vietnamese
47135,moroccan
29036,jamaican
43533,japanese
41631,jamaican
22124,filipino
18836,brazilian
35695,russian
5141,indian
41894,moroccan
4972,greek
34195,jamaican
14183,irish
15188,vietnamese
8734,jamaican
30946,jamaican
5588,cajun_creole
49554,irish
1270,moroccan
1259,vietnamese
45986,moroccan
22351,southern_us
300,filipino
9278,irish
10021,indian
17014,korean
40855,russian
18362,korean
16292,korean
29924,jamaican
47174,brazilian
4856,russian
15417,spanish
19875,jamaican
42228,moroccan
36264,brazilian
14571,irish
23496,italian
43879,southern_us
23431,moroccan
5499,cajun_creole
247,filipino
48795,brazilian
47113,moroccan
489,jamaican
13036,korean
4838,italian
40630,indian
17576,moroccan
29972,jamaican
8123,indian
35918,mexican
42669,cajun_creole
24632,jamaican
35740,mexican
45670,russian
28041,filipino
46688,vietnamese
10309,thai
15367,thai
30562,russian
47151,moroccan
47300,vietnamese
31200,brazilian
5749,vietnamese
41807,russian
13990,mexican
23572,moroccan
872,russian
38085,korean
5248,korean
26309,brazilian
26880,mexican
41559,jamaican
8059,brazilian
26041,vietnamese
30019,moroccan
7207,jamaican
30309,russian
2092,brazilian
8023,korean
4016,brazilian
24631,irish
35068,russian
8523,spanish
28463,moroccan
8629,brazilian
43829,jamaican
22129,british
34505,chinese
38200,korean
36513,thai
32187,moroccan
7788,irish
31130,filipino
40483,italian
2224,jamaican
14143,japanese
22889,jamaican
17406,thai
10451,filipino
19844,russian
23416,russian
33874,cajun_creole
39951,russian
41361,mexican
44659,moroccan
8836,russian
21709,indian
22993,jamaican
39191,southern_us
17182,mexican
20507,korean
42397,filipino
18897,spanish
3797,thai
11041,brazilian
807,filipino
3514,moroccan
12936,korean
15050,russian
43377,jamaican
10471,filipino
30721,mexican
14333,indian
6260,jamaican
7712,jamaican
19048,french
21455,mexican
18575,cajun_creole
47647,southern_us
35947,mexican
14499,italian
43525,british
5723,russian
48497,greek
43822,brazilian
525,british
30594,spanish
47948,brazilian
2099,moroccan
43863,russian
24711,vietnamese
15230,indian
21680,indian
36218,mexican
41622,korean
34809,brazilian
5110,brazilian
27214,moroccan
34803,korean
36822,moroccan
6912,vietnamese
20373,italian
29157,italian
6327,brazilian
35502,jamaican
8305,moroccan
35598,russian
48538,indian
49358,indian
44506,mexican
39146,indian
29270,filipino
20560,filipino
24169,brazilian
41537,jamaican
10431,moroccan
31517,jamaican
34049,korean
26964,korean
49655,brazilian
9101,russian
30377,italian
7046,indian
47969,mexican
18971,russian
38891,southern_us
29506,vietnamese
40305,filipino
21255,filipino
15578,mexican
24894,brazilian
32089,korean
46097,filipino
40982,french
12543,moroccan
38366,brazilian
32925,moroccan
17506,filipino
48389,british
41804,korean
9961,filipino
24939,indian
39599,russian
45838,mexican
48875,indian
25531,chinese
3009,jamaican
31965,southern_us
16901,spanish
13370,moroccan
2954,korean
40353,french
8207,jamaican
10933,korean
38206,jamaican
14110,jamaican
19128,moroccan
32616,indian
27748,spanish
31858,italian
20510,mexican
17602,thai
35665,japanese
46589,indian
8178,mexican
34880,brazilian
42527,spanish
29682,filipino
32166,filipino
30343,russian
15385,cajun_creole
18372,vietnamese
29211,french
23269,korean
4561,korean
27365,brazilian
49032,korean
22064,moroccan
12060,korean
47834,chinese
25815,korean
34036,korean
19326,filipino
44078,thai
31090,moroccan
17485,mexican
708,russian
5350,filipino
29754,brazilian
18309,spanish
46871,moroccan
27300,spanish
41890,cajun_creole
49548,irish
11392,russian
1354,jamaican
48819,brazilian
19097,jamaican
42113,moroccan
24060,jamaican
