,id,cuisine
17645,48010,filipino
33524,46217,mexican
38762,21088,italian
11125,18976,indian
13129,7809,spanish
14770,27127,vietnamese
34141,22413,mexican
37756,494,mexican
14891,32143,brazilian
18581,5691,korean
23322,35722,vietnamese
12075,43046,brazilian
4462,1403,brazilian
32362,29582,mexican
17687,8130,thai
26952,29782,irish
34469,19850,japanese
39581,29997,spanish
10852,18060,french
18847,18371,moroccan
11241,42572,irish
16543,11371,russian
28986,6879,cajun_creole
31217,32375,southern_us
39318,29302,mexican
10060,39945,jamaican
17311,5356,southern_us
31024,44929,filipino
9997,37477,french
39114,20852,thai
23674,33263,spanish
39673,28482,vietnamese
33704,17066,spanish
2395,6962,mexican
38250,34172,greek
25592,45940,italian
10731,4640,korean
34732,32069,korean
18537,31620,mexican
16979,7054,french
35767,18177,korean
37599,27852,southern_us
35290,23999,mexican
13408,17917,chinese
31725,23598,mexican
36791,24941,filipino
36437,36777,mexican
11468,41898,spanish
17583,32456,italian
38373,47109,brazilian
25081,9221,korean
3086,25910,irish
20909,28196,vietnamese
15746,45312,jamaican
9509,25980,moroccan
29408,39311,italian
24603,47983,irish
21378,27941,cajun_creole
20607,47115,french
20080,29048,indian
3071,42278,vietnamese
4365,3812,british
18418,16679,korean
5590,28136,japanese
5308,18558,vietnamese
5619,35453,jamaican
33588,48441,mexican
2091,31496,korean
6092,7657,greek
10135,4261,brazilian
37314,10312,cajun_creole
5629,1547,mexican
6147,496,cajun_creole
6558,22601,french
7750,28038,southern_us
3773,3825,moroccan
19870,40621,irish
1013,25637,mexican
12935,23590,southern_us
36019,21698,italian
13991,44541,cajun_creole
6001,45422,mexican
39732,28291,moroccan
29861,43101,filipino
20800,24359,cajun_creole
39559,38340,japanese
4589,11570,greek
30724,48601,cajun_creole
23877,91,russian
29681,47423,indian
35584,45319,french
9875,14119,mexican
11782,20167,cajun_creole
10164,30095,irish
3510,9113,spanish
11829,2732,british
17661,25023,greek
21934,7687,spanish
21386,34693,japanese
32365,44381,italian
6125,39441,jamaican
24205,37399,greek
3593,35330,cajun_creole
29504,45426,moroccan
1396,24443,italian
39628,42222,southern_us
23582,49241,japanese
33308,17192,brazilian
25698,17631,moroccan
11017,35652,chinese
24828,4407,vietnamese
6296,12721,brazilian
33116,33321,jamaican
566,20195,french
34325,26404,spanish
16730,7799,southern_us
16281,42589,greek
