id,cuisine
18009,italian
28583,southern_us
41580,italian
29752,southern_us
35687,greek
38527,southern_us
19666,french
41217,chinese
28753,mexican
22659,british
21749,italian
44967,irish
42969,indian
44883,italian
20827,greek
23196,southern_us
35387,southern_us
33780,southern_us
19001,mexican
16526,southern_us
42455,japanese
47453,southern_us
42478,spanish
11885,filipino
16585,italian
29639,greek
26245,thai
38516,chinese
47520,italian
26212,southern_us
23696,mexican
14926,chinese
13292,southern_us
27346,korean
1384,chinese
15959,indian
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,filipino
23120,chinese
26743,french
12741,mexican
7050,italian
22437,italian
14760,italian
10649,southern_us
48065,vietnamese
39931,japanese
32935,italian
40142,thai
19103,mexican
38267,italian
30512,italian
3324,chinese
26197,moroccan
384,chinese
47230,chinese
39748,cajun_creole
41038,french
24878,southern_us
42624,filipino
45706,indian
8874,mexican
23878,italian
47234,chinese
24075,thai
46323,italian
22562,italian
11358,chinese
9201,indian
38620,southern_us
47638,southern_us
21238,indian
11053,thai
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,italian
45832,italian
27560,chinese
23247,southern_us
28975,southern_us
43230,greek
9126,italian
13021,mexican
28194,indian
25617,mexican
36125,italian
16454,mexican
1607,filipino
38526,moroccan
18755,southern_us
12035,cajun_creole
16047,greek
15419,italian
16971,indian
31459,italian
27888,italian
13900,italian
12376,thai
1658,chinese
29431,mexican
22290,italian
28464,italian
37953,korean
20814,chinese
35987,mexican
2329,italian
43237,filipino
30647,french
16675,italian
37722,mexican
32438,chinese
20287,filipino
43296,indian
6237,spanish
48560,korean
20810,mexican
34951,italian
31850,chinese
47745,southern_us
37815,mexican
9872,italian
5592,italian
27411,chinese
39320,italian
40247,british
19792,mexican
40754,italian
14365,mexican
14468,southern_us
47563,mexican
19611,italian
7163,mexican
43069,irish
27505,chinese
36500,chinese
25932,southern_us
817,italian
8471,french
48250,southern_us
9413,southern_us
12097,southern_us
8416,italian
5892,italian
676,southern_us
47015,chinese
21891,greek
14630,italian
36195,korean
25981,mexican
39964,italian
28298,indian
31954,italian
26620,mexican
14932,southern_us
47426,filipino
1038,southern_us
8077,southern_us
37141,southern_us
45447,southern_us
9624,mexican
45589,southern_us
7265,southern_us
31844,southern_us
13046,italian
9867,italian
29184,italian
34783,italian
2823,thai
18932,mexican
11112,mexican
12859,indian
9365,italian
44516,southern_us
18193,southern_us
46545,italian
9900,italian
14815,mexican
39690,italian
22193,southern_us
11739,french
27311,southern_us
36920,indian
7861,italian
29248,indian
43142,mexican
7574,southern_us
8610,mexican
989,italian
46926,mexican
40816,mexican
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,southern_us
20484,vietnamese
26661,brazilian
47182,spanish
22528,french
3861,chinese
1203,french
45040,spanish
33287,indian
10097,chinese
42005,southern_us
12423,spanish
39613,filipino
30276,mexican
18686,southern_us
3031,southern_us
40093,italian
182,italian
46591,italian
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,indian
11735,mexican
27935,italian
28198,mexican
37765,mexican
33856,southern_us
30198,italian
42521,southern_us
21567,southern_us
36995,italian
24967,vietnamese
45002,southern_us
48925,greek
36914,italian
2280,irish
14729,cajun_creole
4594,southern_us
2237,mexican
45631,indian
2317,chinese
23079,filipino
29333,chinese
48066,southern_us
15737,italian
30580,mexican
1119,french
46336,indian
5026,italian
10749,russian
31020,mexican
30805,southern_us
27653,italian
35060,italian
39174,mexican
49509,italian
31784,southern_us
31408,greek
36029,greek
11045,southern_us
6561,southern_us
26992,southern_us
31179,southern_us
35099,mexican
11018,chinese
17930,mexican
21302,italian
46352,chinese
25132,mexican
7010,italian
25850,southern_us
19601,italian
7935,italian
34994,southern_us
25113,greek
45523,italian
34977,greek
7124,southern_us
27514,southern_us
27178,mexican
47880,japanese
29197,southern_us
16347,southern_us
20333,mexican
29112,chinese
7510,southern_us
13897,southern_us
35699,moroccan
20520,mexican
38920,mexican
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,mexican
34815,italian
13797,italian
39063,chinese
29064,chinese
26896,italian
29477,french
3352,southern_us
4966,mexican
7316,italian
23879,mexican
16525,italian
32843,italian
39574,southern_us
32737,indian
44788,filipino
28772,italian
34189,mexican
33719,southern_us
25846,indian
1423,indian
4328,italian
579,southern_us
5219,indian
2314,italian
31143,filipino
13409,chinese
3281,mexican
15804,vietnamese
40835,southern_us
39262,korean
37013,indian
14807,korean
47956,southern_us
2580,mexican
13720,french
23008,japanese
5951,indian
39312,mexican
6176,southern_us
17617,mexican
57,mexican
43422,indian
49403,mexican
44751,southern_us
21865,mexican
26584,british
39355,chinese
14038,southern_us
45396,italian
49715,mexican
41515,indian
30445,greek
4090,mexican
17207,thai
40376,indian
19398,italian
22347,vietnamese
49671,mexican
40854,italian
926,chinese
47919,mexican
20571,italian
18866,southern_us
48742,mexican
14577,italian
29481,italian
40996,italian
34470,southern_us
31147,mexican
35932,mexican
27221,italian
48301,southern_us
29925,japanese
48640,thai
22873,mexican
10565,cajun_creole
15509,italian
37569,southern_us
13306,chinese
40474,italian
15182,greek
8609,chinese
32168,filipino
1125,spanish
25244,spanish
46889,chinese
13841,filipino
47135,moroccan
29036,indian
43533,japanese
41631,southern_us
22124,southern_us
18836,cajun_creole
35695,french
5141,indian
41894,moroccan
4972,spanish
34195,vietnamese
14183,greek
15188,indian
8734,french
30946,italian
5588,southern_us
49554,british
1270,indian
1259,filipino
45986,mexican
22351,french
300,mexican
9278,southern_us
10021,italian
17014,southern_us
40855,italian
18362,chinese
16292,chinese
29924,southern_us
47174,southern_us
4856,italian
15417,italian
19875,indian
42228,indian
36264,mexican
14571,southern_us
23496,italian
43879,mexican
23431,indian
5499,italian
247,italian
48795,indian
47113,italian
489,mexican
13036,korean
4838,italian
40630,indian
17576,greek
29972,indian
8123,indian
35918,southern_us
42669,southern_us
24632,mexican
35740,mexican
45670,italian
28041,filipino
46688,korean
10309,thai
15367,southern_us
30562,southern_us
47151,spanish
47300,thai
31200,mexican
5749,french
41807,italian
13990,mexican
23572,greek
872,southern_us
38085,korean
5248,southern_us
26309,mexican
26880,mexican
41559,mexican
8059,southern_us
26041,thai
30019,indian
7207,indian
30309,french
2092,italian
8023,chinese
4016,mexican
24631,italian
35068,southern_us
8523,mexican
28463,italian
8629,spanish
43829,cajun_creole
22129,italian
34505,chinese
38200,chinese
36513,chinese
32187,italian
7788,southern_us
31130,filipino
40483,southern_us
2224,italian
14143,southern_us
22889,southern_us
17406,chinese
10451,italian
19844,southern_us
23416,southern_us
33874,french
39951,italian
41361,mexican
44659,indian
8836,irish
21709,indian
22993,thai
39191,filipino
17182,mexican
20507,korean
42397,italian
18897,italian
3797,mexican
11041,french
807,korean
3514,italian
12936,thai
15050,southern_us
43377,cajun_creole
10471,chinese
30721,filipino
14333,indian
6260,chinese
7712,southern_us
19048,italian
21455,mexican
18575,southern_us
47647,french
35947,mexican
14499,italian
43525,greek
5723,italian
48497,italian
43822,southern_us
525,italian
30594,mexican
47948,southern_us
2099,moroccan
43863,mexican
24711,mexican
15230,filipino
21680,indian
36218,mexican
41622,chinese
34809,italian
5110,italian
27214,italian
34803,italian
36822,greek
6912,vietnamese
20373,french
29157,italian
6327,mexican
35502,mexican
8305,southern_us
35598,greek
48538,indian
49358,indian
44506,mexican
39146,indian
29270,southern_us
20560,jamaican
24169,southern_us
41537,italian
10431,italian
31517,southern_us
34049,chinese
26964,indian
49655,italian
9101,southern_us
30377,italian
7046,indian
47969,mexican
18971,french
38891,mexican
29506,thai
40305,cajun_creole
21255,southern_us
15578,mexican
24894,southern_us
32089,chinese
46097,thai
40982,italian
12543,british
38366,southern_us
32925,italian
17506,thai
48389,italian
41804,korean
9961,chinese
24939,indian
39599,french
45838,mexican
48875,indian
25531,chinese
3009,mexican
31965,indian
16901,italian
13370,italian
2954,filipino
40353,italian
8207,jamaican
10933,vietnamese
38206,southern_us
14110,mexican
19128,italian
32616,indian
27748,mexican
31858,southern_us
20510,mexican
17602,vietnamese
35665,japanese
46589,indian
8178,mexican
34880,italian
42527,mexican
29682,indian
32166,indian
30343,british
15385,cajun_creole
18372,chinese
29211,italian
23269,korean
4561,italian
27365,indian
49032,japanese
22064,greek
12060,southern_us
47834,italian
25815,southern_us
34036,jamaican
19326,filipino
44078,thai
31090,italian
17485,italian
708,french
5350,jamaican
29754,greek
18309,italian
46871,french
27300,southern_us
41890,mexican
49548,southern_us
11392,italian
1354,mexican
48819,southern_us
19097,southern_us
42113,greek
24060,chinese
25849,mexican
4543,southern_us
25306,jamaican
41966,italian
48719,indian
48191,thai
8826,french
42703,mexican
16083,southern_us
26613,jamaican
28088,filipino
39965,southern_us
