id,cuisine
722,cajun_creole
41936,chinese
33200,russian
25194,thai
40201,indian
28061,italian
30285,southern_us
39307,thai
15749,chinese
18357,mexican
412,french
11377,mexican
28045,mexican
7506,chinese
20535,indian
46680,french
187,italian
25203,chinese
23327,southern_us
24248,french
32626,mexican
30327,southern_us
21092,mexican
45346,greek
39118,italian
45298,italian
24371,cajun_creole
4695,japanese
10736,southern_us
39935,cajun_creole
31630,southern_us
46262,italian
33562,italian
14099,italian
4114,mexican
49234,indian
43881,greek
47104,indian
37555,british
40757,mexican
1086,cajun_creole
18100,chinese
40598,italian
4115,italian
34375,mexican
23151,mexican
38306,chinese
7881,japanese
34816,cajun_creole
32932,spanish
18894,mexican
19881,southern_us
10546,italian
29640,italian
29249,italian
5108,mexican
30459,french
23141,italian
24978,southern_us
48555,mexican
15389,spanish
22185,chinese
8587,mexican
31824,mexican
8607,italian
14885,italian
25482,cajun_creole
31367,greek
27489,french
19622,jamaican
33711,british
21743,brazilian
38802,japanese
49506,thai
3367,mexican
44526,mexican
9620,italian
4521,french
18744,indian
40451,italian
17251,filipino
12786,italian
33510,russian
6654,mexican
35643,korean
15125,italian
24022,southern_us
44668,italian
15725,italian
30627,chinese
47200,korean
46232,japanese
32433,mexican
37560,mexican
36608,spanish
40923,italian
755,korean
2197,french
17954,french
23420,southern_us
20170,mexican
167,southern_us
3492,italian
36323,korean
15898,mexican
31761,french
28779,filipino
41423,moroccan
42820,italian
34546,southern_us
21350,french
32599,mexican
43391,jamaican
31680,mexican
11501,southern_us
588,mexican
20052,filipino
26080,japanese
36265,italian
46416,southern_us
34817,southern_us
36207,french
17642,italian
12875,italian
25523,southern_us
3061,southern_us
16376,italian
14660,italian
30990,korean
35351,southern_us
11443,italian
35372,greek
2207,indian
29259,indian
25712,jamaican
46083,indian
16142,italian
548,moroccan
44389,mexican
28838,mexican
29313,southern_us
30095,southern_us
17653,russian
24260,italian
8017,chinese
12056,italian
49320,chinese
35115,indian
7133,italian
41628,mexican
19878,mexican
48625,southern_us
43092,moroccan
42510,japanese
26234,chinese
2829,irish
46332,thai
35228,cajun_creole
21438,italian
23278,mexican
45952,indian
17809,mexican
17700,filipino
43239,russian
45233,indian
9643,cajun_creole
9948,italian
