,id,cuisine
39568,2713,mexican
5763,28172,italian
22848,22291,southern_us
3975,48149,italian
8407,29906,italian
8662,11373,jamaican
36431,38686,mexican
39206,35689,french
29786,45326,mexican
38258,32135,chinese
13233,21623,chinese
13462,45134,cajun_creole
17592,42726,thai
16725,17728,italian
32341,45825,chinese
27298,31562,indian
37736,47169,mexican
10386,2975,chinese
3606,19647,italian
6353,3140,italian
4624,16921,chinese
18974,41492,filipino
16995,12545,chinese
38748,36972,cajun_creole
13087,45543,italian
4785,44573,greek
13312,29943,mexican
3607,3758,italian
35394,16889,italian
35686,10623,greek
34592,5254,japanese
23346,32190,thai
12896,21287,korean
10750,17247,chinese
3412,2559,french
16765,48713,southern_us
21778,33343,vietnamese
37589,21850,italian
31123,22112,spanish
7038,27059,italian
27346,9428,mexican
20568,42943,italian
15293,27058,italian
4120,6300,cajun_creole
25821,45446,british
10064,49382,cajun_creole
21551,3518,mexican
2781,34976,southern_us
16233,35088,french
2692,32132,chinese
16681,27607,cajun_creole
23174,49167,indian
4489,44753,indian
5910,15331,indian
7290,8554,italian
23211,3765,indian
39364,674,italian
25359,12886,mexican
21001,25628,chinese
10542,11537,french
215,428,chinese
34272,4177,mexican
38825,33517,chinese
6750,26465,indian
14963,14616,mexican
11556,25390,indian
25379,12177,french
26669,40205,french
26561,12092,indian
63,20591,indian
27625,22337,mexican
22409,34112,italian
16714,15293,greek
26156,35891,thai
1424,532,filipino
6220,22514,chinese
21136,30157,southern_us
32558,6940,mexican
2975,28039,italian
18253,1183,french
10044,30673,thai
16255,41843,cajun_creole
17717,33002,southern_us
18533,11731,mexican
23277,2986,italian
38836,3004,indian
28065,2594,korean
17894,40520,chinese
16837,41536,italian
34607,23770,indian
27015,7479,chinese
9179,35117,italian
3739,26145,chinese
32542,25270,italian
22533,43173,italian
7052,18534,indian
14240,41048,korean
35720,24733,chinese
12776,22155,indian
31264,36848,italian
12782,36328,italian
34854,40193,italian
1490,12312,mexican
29329,20217,mexican
30488,24622,italian
32200,45595,mexican
15210,30913,southern_us
19104,25261,italian
13157,19273,greek
25372,34709,southern_us
38279,12629,mexican
20740,3727,mexican
18903,27363,southern_us
38937,29820,cajun_creole
26812,5530,korean
5064,11993,southern_us
32681,14990,thai
10249,3108,italian
2634,2485,italian
23903,49543,filipino
1447,30942,indian
32086,23155,thai
7652,28535,thai
33764,25917,french
33192,41601,cajun_creole
1089,16035,indian
4995,29350,mexican
8061,11457,italian
31662,958,italian
34882,40703,thai
33479,48991,indian
8308,44109,korean
25404,34675,japanese
37467,40530,italian
5341,17011,mexican
24948,28568,mexican
30356,47962,italian
13999,21620,southern_us
32302,1194,italian
24554,27890,japanese
31281,28577,italian
38558,39633,southern_us
39747,5119,italian
15734,17707,filipino
31533,20556,jamaican
38035,34232,korean
28030,8214,mexican
18663,27236,mexican
