,id,cuisine
14501,3866,italian
12102,35239,vietnamese
22194,46305,cajun_creole
31264,36848,italian
3304,38877,chinese
5058,20966,italian
853,49558,chinese
4691,36610,mexican
39576,24395,irish
19991,47111,filipino
7378,49196,mexican
17243,42602,italian
7086,30228,southern_us
6605,25392,jamaican
39408,36071,chinese
1424,532,french
10860,1138,southern_us
29175,33234,cajun_creole
27373,7625,italian
30980,32405,mexican
24810,14637,chinese
862,47932,italian
10590,4063,mexican
25394,29592,chinese
13460,19444,irish
35193,29685,chinese
32313,8672,southern_us
37600,6612,mexican
7804,42822,italian
18403,5624,spanish
8152,26016,italian
21865,45077,french
7860,28859,japanese
13297,13497,french
23059,14733,chinese
28875,24935,indian
28883,21562,mexican
29859,17151,filipino
13315,47767,mexican
24461,16664,southern_us
35199,21823,italian
18452,485,mexican
3762,27844,indian
9127,11066,italian
36433,15191,italian
30006,11290,italian
37348,39268,french
3882,27793,southern_us
385,31209,italian
11548,35666,italian
39086,24742,cajun_creole
10923,16669,italian
32389,24533,southern_us
16839,37247,chinese
10875,43329,italian
7781,15079,mexican
18340,19744,brazilian
30535,28355,chinese
33052,34198,thai
22117,47153,indian
14136,31416,italian
26145,28350,mexican
6860,44043,french
3671,15040,italian
2217,37920,chinese
27665,48353,italian
26010,61,thai
36019,21698,italian
4244,42233,chinese
34946,39873,italian
22193,39469,japanese
20473,33921,italian
17012,46486,mexican
8348,2565,southern_us
6696,22016,italian
33976,27735,mexican
26909,41620,italian
21450,25957,cajun_creole
12052,19662,korean
10699,23899,southern_us
32041,16026,mexican
9823,18496,southern_us
16958,17691,italian
38911,7511,southern_us
9129,39597,mexican
28619,47687,greek
12739,11910,moroccan
15363,36188,mexican
6107,27753,chinese
32390,29549,italian
3350,34400,southern_us
22812,696,indian
32183,39982,italian
20857,14055,chinese
36778,6921,chinese
31043,48514,italian
38712,15593,thai
16786,39242,greek
2175,2106,italian
29846,27028,french
17706,24780,indian
22325,42959,italian
5382,11377,mexican
15221,624,southern_us
17006,49352,southern_us
7572,36158,mexican
12473,764,indian
23019,38303,thai
