,id,cuisine
12877,23711,british
7850,18306,southern_us
15476,27772,southern_us
3945,41258,italian
10604,20162,southern_us
4603,3994,japanese
7178,47867,mexican
4381,32169,indian
13898,48700,japanese
27506,446,italian
20596,2615,italian
9080,8271,mexican
21870,33471,chinese
17168,25955,french
21980,20800,cajun_creole
24931,9705,greek
14337,18152,italian
27547,37693,italian
36374,29858,korean
5946,7437,british
31899,30955,mexican
25337,1666,filipino
33530,13960,chinese
7933,8588,thai
13502,3243,vietnamese
13574,32019,japanese
216,6745,mexican
1673,16479,chinese
36150,37379,korean
1976,13701,italian
18992,28128,cajun_creole
10607,26275,cajun_creole
27206,7458,italian
5629,1547,southern_us
23684,12461,french
16636,10452,cajun_creole
34474,44404,italian
21554,20491,japanese
36613,39785,mexican
1807,26710,italian
32141,36915,southern_us
3549,11987,british
5497,9440,irish
37940,29300,russian
29663,37357,cajun_creole
9376,38761,mexican
25594,22995,chinese
26139,22986,mexican
26275,23175,italian
23442,9381,mexican
17199,21506,japanese
11652,23875,french
32968,8245,mexican
14853,6429,mexican
19131,47107,thai
7251,30200,southern_us
1481,30634,french
28367,8557,japanese
39382,36486,southern_us
14591,12881,mexican
17734,49212,moroccan
26068,8068,french
19611,46502,greek
7286,7689,mexican
22330,40808,cajun_creole
13110,6809,italian
32629,31711,southern_us
12666,1729,chinese
9591,2619,russian
20619,3699,southern_us
25082,13995,italian
26948,42008,vietnamese
6986,32590,italian
596,32916,italian
12331,42178,mexican
17815,14359,thai
29433,25902,moroccan
25578,27152,mexican
28578,45516,moroccan
8010,48455,cajun_creole
26116,664,thai
36460,16959,irish
24987,5392,french
18448,19715,mexican
32634,41505,chinese
19583,36279,greek
10872,8563,greek
14651,32010,italian
8334,47094,brazilian
29980,20294,japanese
35998,29065,southern_us
26730,13905,italian
37845,13642,chinese
10596,3338,southern_us
25566,26445,mexican
13306,46277,italian
25513,41380,french
10763,39828,mexican
9883,10038,italian
4424,47963,french
8758,37502,italian
35937,704,indian
21768,5841,italian
28142,10173,greek
28918,45154,korean
715,48469,southern_us
9587,32403,filipino
13932,47553,southern_us
19967,28803,southern_us
22247,32941,cajun_creole
38385,10211,indian
29117,5860,japanese
35745,44239,moroccan
8953,8958,italian
38671,22192,french
39283,43537,mexican
13490,15306,indian
4579,44553,southern_us
4231,34801,mexican
27892,22543,southern_us
4358,20799,mexican
34309,11601,cajun_creole
5792,26529,indian
2009,33679,mexican
26449,41054,southern_us
10592,3759,spanish
18711,44204,japanese
2941,45053,italian
38878,32399,southern_us
38044,40700,british
31139,22357,chinese
13365,39070,italian
23212,23230,southern_us
26950,31878,indian
25543,19280,japanese
18432,47800,indian
17520,1714,italian
16978,39246,filipino
29596,23670,thai
17395,45104,southern_us
16912,870,italian
22675,24392,southern_us
25292,28473,thai
9738,7500,italian
11486,27923,southern_us
28402,19224,french
31908,19322,italian
2445,1758,mexican
29378,20401,spanish
35569,30266,japanese
39678,46749,korean
36809,39905,chinese
12585,47950,thai
8672,44518,chinese
3688,38873,southern_us
26424,3342,italian
1339,23541,chinese
18566,2930,southern_us
37863,46529,italian
2228,2207,indian
2383,37027,cajun_creole
20723,32250,indian
33922,2962,thai
18678,4087,mexican
26238,16063,southern_us
27084,46578,italian
21672,1233,chinese
33086,20947,mexican
9531,5180,spanish
380,21052,brazilian
17825,3174,thai
25577,44828,italian
3662,44661,mexican
32895,6123,italian
36361,6990,british
26043,13206,greek
27821,25464,southern_us
29811,35810,japanese
3213,18717,southern_us
27379,40493,cajun_creole
27928,48570,chinese
37653,44881,mexican
36074,10747,chinese
22283,38522,spanish
27018,47158,italian
8298,1878,cajun_creole
8225,40068,mexican
22870,14295,indian
15925,8993,mexican
17874,35884,mexican
19889,22663,cajun_creole
3304,38877,chinese
15016,26561,cajun_creole
5505,19767,british
30434,30201,spanish
2215,11036,mexican
34477,48457,southern_us
35731,38562,mexican
26465,37168,french
18870,13723,french
20444,45486,indian
